4,https://www.amazon.com/dp/B0D78XV54B,Search Term of Toilet seat.xlsm,82,"FVZ Bidet Toilet Seat Elongated Smart Heated Toilet Seat with Warm Water & Dryer, Feminine & Child Wash, Self-Clean Stainless Steel Nozzle, Adjustable Water Pressure, Slow Close Lid",FVZ,299.99,,299.99,236.84,63.15,,90,Tools & Home Improvement,9,10,2,12083,,,804,241191.96,115,,6/17/2024,5,,,,11.99,FBA,2,B0D78XV54B,2024-09-25 21:48:16
4,https://www.amazon.com/dp/B07JGC1Z2P,Search Term of Toilet seat.xlsm,70,"KOHLER 8298-CR-0 PureWash E820 Elongated Bidet Toilet Seat, Heated Bidet, Bidets for Existing Toilets with Remote Control, White",Kohler,799.98,696.99,799.98,658.44,141.54,,80,Tools & Home Improvement,7,2,13,32196,47599,,261,208794.78,687,337,10/16/2018,4.4,,,,12.4,AMZ,4,B07JGC1Z2P,2024-09-25 21:48:16
2,https://www.amazon.com/dp/B000RNJ2JK,Search Term of outside Garbage can lid.xlsm,44,"Safco, Canmeleon Garbage Can for Indoor and Outdoor Use, Durable & Weather-Resistant Trash Receptacle, 38 Gallons",SafcoProducts,173.49,161.96,173.49,126.4,47.09,,72,Industrial & Scientific,5,2,23,20362,28768,,1108,179220,725,23,6/5/2007,4.6,,,,18.99,AMZ,8,B000RNJ2JK,2024-09-25 21:48:16
2,https://www.amazon.com/dp/B0BDBNKTL7,Search Term of Toilet seat.xlsm,273,"BidetMate 3000 Series Electric Bidet Heated Smart Toilet Seat with Unlimited Heated Water, Remote, and Adjustable Warm Air Dryer - Adjustable and Self-Cleaning - Fits Elongated Toilets",BidetMate,499.99,,499.99,409.47,90.52,,78,Tools & Home Improvement,9,3,3,85466,,,283,141497.17,62,129,9/5/2022,4.4,,,,11.88,AMZ,3,B0BDBNKTL7,2024-09-25 21:48:16
4,https://www.amazon.com/dp/B0CBC3B94F,Search Term of Solar Chargers.xlsm,438,"Portable Power Bank with AC Outlet 65W 110V External Battery Pack, 24000mAh Portable Laptop Charger with 30W Foldable Solar Panel Power Supply for Outdoor Camping Home Use Traveling RV Trip Off Grid",ZeroKor,159.98,159.98,159.98,127.77,32.21,,74,Cell Phones & Accessories,9,,1,6096,77522,,787,125904.26,871,457,12/11/2023,4.2,,,,5.07,FBA,4,B0CBC3B94F,2024-09-25 21:48:16
4,https://www.amazon.com/dp/B0CQLX82NQ,Search Term of Solar Chargers.xlsm,124,"Portable Power Station Bank 146Wh 200W Peak(100W Rated), Solar Powered Power Bank with AC Outlet 110V for Camping, Solar Charger Power Bank Battery Pack 39600mAh for Home Outdoor Emergency",Apowking,129.99,109.8,129.99,102.74,27.25,79,74,"Patio, Lawn & Garden",9,7,1,3478,6080,100,772,94191.56,144,654,12/18/2023,4.2,,,1,4.3,FBA,4,B0CQLX82NQ,2024-09-25 21:48:16
2,https://www.amazon.com/dp/B0BDCT69J5,Search Term of Toilet seat.xlsm,140,"BidetMate 3000 Series Electric Bidet Heated Smart Toilet Seat with Unlimited Heated Water, Side Control Panel, and Adjustable Warm Air Dryer - Self-Cleaning - Fits Elongated Toilets",BidetMate,479.99,439.18,479.99,392.1,87.89,,78,Tools & Home Improvement,6,10,2,166506,48762,,211,92630.5,60,93,9/5/2022,4.4,,,,12.03,FBA,3,B0BDCT69J5,2024-09-25 21:48:16
2,https://www.amazon.com/dp/B07KGJFPZB,Search Term of Toilet seat.xlsm,136,"Centoco 3700SC-416 Round Plastic Toilet Seat with Safety Close, Light Weight Residential, Biscuit",Centoco,28.48,27.79,28.48,12.89,15.59,,76,Tools & Home Improvement,3,6,2,1702,150143,,3207,91335.36,6507,3,11/11/2018,4.2,,,,3.39,AMZ,17,B07KGJFPZB,2024-09-25 21:48:16
4,https://www.amazon.com/dp/B0015C9648,Search Term of Toilet seat.xlsm,61,"Bemis 1500EC 006 Toilet Seat with Easy Clean & Change Hinges, Elongated, Durable Enameled Wood, Bone, 1 Pack",Bemis,21.93,19.12,21.93,6.14,15.79,28,85,Tools & Home Improvement,3,5,11,1891,1669,17,3734,81886.62,12943,6,10/2/2009,4.5,,,1,7.25,AMZ,8,B0015C9648,2024-09-25 21:48:16
3,https://www.amazon.com/dp/B0CYZMBRJ4,Search Term of outside Garbage can lid.xlsm,20,"Greesum 33 Gallon Outdoor Trash Can with Lid, Waterproof Resin Garbage Bin for Hideaway, Deck, Patio, Black",BuynowfromGreesum,44.99,49.99,44.99,15.02,29.97,33,82,Home & Kitchen,7,,1,24445,18030,27,1594,78987.94,101,782,3/24/2024,4.5,,,1,17,MCH,8,B0CYZMBRJ4,2024-09-25 21:48:16
